time,uid,event.type,project,user.display,timestamp
12, ou_e142da4fe0a93f8f95e99da5dba03b9f,default,topbi-release,,2021-04-16T15:59:30+00:00
6191, ou_9949307d54cb9ce799f064f27c9be774,default,topbi-release,,2021-04-16T15:59:23+00:00
6796, ou_9949307d54cb9ce799f064f27c9be774,default,topbi-release,,2021-04-16T15:59:22+00:00
4558, ou_9949307d54cb9ce799f064f27c9be774,default,topbi-release,,2021-04-16T15:59:19+00:00
2766, ou_9949307d54cb9ce799f064f27c9be774,default,topbi-release,,2021-04-16T15:59:17+00:00
10, ou_9949307d54cb9ce799f064f27c9be774,default,topbi-release,,2021-04-16T15:59:15+00:00
11, ou_9949307d54cb9ce799f064f27c9be774,default,topbi-release,,2021-04-16T15:59:15+00:00
14, ou_9949307d54cb9ce799f064f27c9be774,default,topbi-release,,2021-04-16T15:59:14+00:00
12, ou_9949307d54cb9ce799f064f27c9be774,default,topbi-release,,2021-04-16T15:59:14+00:00
784, ou_c284be5e52ad9d9f96ff1a19483a2637,default,topbi-release,,2021-04-16T15:58:22+00:00
11, ou_c284be5e52ad9d9f96ff1a19483a2637,default,topbi-release,,2021-04-16T15:58:20+00:00
819, ou_2d450fdee022b195e47c39917a6aa967,default,topbi-release,,2021-04-16T15:58:18+00:00
12, ou_2d450fdee022b195e47c39917a6aa967,default,topbi-release,,2021-04-16T15:58:15+00:00
3127, ou_9949307d54cb9ce799f064f27c9be774,default,topbi-release,,2021-04-16T15:58:14+00:00
61, ou_f46049ef86aefa917b83263d5bfa2613,default,topbi-release,,2021-04-16T15:58:07+00:00
13, ou_f46049ef86aefa917b83263d5bfa2613,default,topbi-release,,2021-04-16T15:58:05+00:00
434, ou_f9cc239c59b1db125557916cc0d46b6d,default,topbi-release,,2021-04-16T15:57:25+00:00
13, ou_f9cc239c59b1db125557916cc0d46b6d,default,topbi-release,,2021-04-16T15:57:24+00:00
305, ou_2a2ad7a2493479ddb5fa4c47ead18f4b,default,topbi-release,,2021-04-16T15:57:09+00:00
14, ou_2a2ad7a2493479ddb5fa4c47ead18f4b,default,topbi-release,,2021-04-16T15:57:07+00:00
3534, ou_9a05bb76d79b501b588185ee7721270b,default,topbi-release,,2021-04-16T15:56:25+00:00
880, ou_9a05bb76d79b501b588185ee7721270b,default,topbi-release,,2021-04-16T15:56:23+00:00
